n_programs,simulated_positions,n_applicants,interviews_per_spot,max_applications,result_file_prefix,signal_value,reviews
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,27,325.01249999999993
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,28,337.05000000000007
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,29,349.0874999999999
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,30,361.125
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,31,373.1625000000001
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,32,385.19999999999993
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,33,397.23750000000007
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,34,409.2749999999999
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,35,421.3125
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,36,433.3500000000001
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,37,445.3875
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,38,457.4249999999999
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,39,469.4624999999999
480,7200,5778,14,49,heatmap_np480_npos7275_napp5778_ips14_max_app49,40,481.5
333,4662,16086,11,25,heatmap_np333_npos4882_napp16086_ips11_max_app25,0,1207.6576576576579
333,4662,16086,11,25,heatmap_np333_npos4882_napp16086_ips11_max_app25,1,1207.6576576576579
333,4662,16086,11,25,heatmap_np333_npos4882_napp16086_ips11_max_app25,2,1207.6576576576579
333,4662,16086,11,25,heatmap_np333_npos4882_napp16086_ips11_max_app25,3,962.7576576576578
333,4662,16086,11,25,heatmap_np333_npos4882_napp16086_ips11_max_app25,4,194.60375375375372
333,4662,16086,11,25,heatmap_np333_npos4882_napp16086_ips11_max_app25,5,241.5315315315316
333,4662,16086,11,25,heatmap_np333_npos4882_napp16086_ips11_max_app25,6,289.83783783783775
333,4662,16086,11,25,heatmap_np333_npos4882_napp16086_ips11_max_app25,7,338.14414414414404
333,4662,16086,11,25,heatmap_np333_npos4882_napp16086_ips11_max_app25,8,386.4504504504504
